label,outcome,score_term,fe_spec,estimate,se,pvalue,n,r2
ECB Stmt -> SX5E [fwd/curr],SX5E,net_score_fwd,B,-0.33613923193880463,0.24888825836173115,0.17807658699452067,253,0.22363726368782477
ECB Stmt -> SX5E [fwd/curr],SX5E,net_score_curr,B,0.8500594516919785,0.37503302672810257,0.0242820595000234,253,0.22363726368782477
ECB Stmt -> SX5E [fwd/curr],SX5E,net_score_fwd,C,-0.4556523521329291,0.2251173082397259,0.044053100150497425,253,0.23401891497948957
ECB Stmt -> SX5E [fwd/curr],SX5E,net_score_curr,C,0.8331602035562881,0.3752255307562896,0.02730909814830742,253,0.23401891497948957
ECB Stmt -> EURUSD [fwd/curr],EURUSD,net_score_fwd,A,0.12733273974051162,0.14021603686087664,0.36469382136209993,253,0.007098933709369204
ECB Stmt -> EURUSD [fwd/curr],EURUSD,net_score_curr,A,-0.15393413677442339,0.22257456777704948,0.48982848163130366,253,0.007098933709369204
ECB Stmt -> EURUSD [fwd/curr],EURUSD,net_score_fwd,B,0.10758685588635064,0.15639449020488738,0.49215145908417646,253,0.028392435799355464
ECB Stmt -> EURUSD [fwd/curr],EURUSD,net_score_curr,B,-0.1444424165877606,0.22839508762133498,0.527697555998593,253,0.028392435799355464
ECB Stmt -> EURUSD [fwd/curr],EURUSD,net_score_fwd,C,0.1620919427701231,0.1732691722340449,0.3504596718148477,253,0.03330894486903202
ECB Stmt -> EURUSD [fwd/curr],EURUSD,net_score_curr,C,-0.13535141625770697,0.2221073915975797,0.5428288239294574,253,0.03330894486903202
ECB Stmt -> SX7E [fwd/curr],SX7E,net_score_fwd,A,-0.8412479456850591,0.44358774409264573,0.059056253420447964,253,0.08958048226939364
ECB Stmt -> SX7E [fwd/curr],SX7E,net_score_curr,A,1.2254023205812474,0.735576921846098,0.09698955433768881,253,0.08958048226939364
ECB Stmt -> SX7E [fwd/curr],SX7E,net_score_fwd,B,-0.5936390986973018,0.4238601914559213,0.16260754148780185,253,0.10357733956027926
ECB Stmt -> SX7E [fwd/curr],SX7E,net_score_curr,B,1.3100218673043773,0.7480871929200268,0.0811643590394769,253,0.10357733956027926
ECB Stmt -> SX7E [fwd/curr],SX7E,net_score_fwd,C,-0.8640533349518317,0.43088544002055673,0.046035717235234794,253,0.12297483708389112
