corpus,central_bank,document_type,meeting_date,event_id,source,is_scheduled,is_fomc_intermeeting
ECB Press Conference,ECB,Press Conference,2020-07-16,ecb_pressconf_20200716,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2020-10-29,ecb_pressconf_20201029,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2020-12-10,ecb_pressconf_20201210,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2021-01-21,ecb_pressconf_20210121,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2021-03-11,ecb_pressconf_20210311,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2021-04-22,ecb_pressconf_20210422,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2021-06-10,ecb_pressconf_20210610,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2021-07-08,ecb_pressconf_20210708,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2021-07-22,ecb_pressconf_20210722,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2021-09-09,ecb_pressconf_20210909,ecb_press_conferences,TRUE,FALSE
