corpus_long,meeting_date,rate_label,net_score,comparison_score,other_score,comparison
FOMC statements,2011-09-21,neutral,-0.25,rf_score,0.01260769093334491,Dictionary vs Random Forest
FOMC statements,2011-09-21,neutral,-0.25,bert_score,-0.2727272727272727,Dictionary vs RoBERTa/BERT
FOMC statements,2011-11-02,neutral,-0.125,rf_score,0.0139896293467722,Dictionary vs Random Forest
FOMC statements,2011-11-02,neutral,-0.125,bert_score,-0.15789473684210523,Dictionary vs RoBERTa/BERT
FOMC statements,2011-12-13,neutral,-0.2307692307692308,rf_score,0.01121317756079419,Dictionary vs Random Forest
FOMC statements,2011-12-13,neutral,-0.2307692307692308,bert_score,-0.17647058823529413,Dictionary vs RoBERTa/BERT
FOMC statements,2012-01-25,neutral,-0.2857142857142857,rf_score,0.01045683285721236,Dictionary vs Random Forest
FOMC statements,2012-01-25,neutral,-0.2857142857142857,bert_score,-0.29411764705882354,Dictionary vs RoBERTa/BERT
FOMC statements,2012-03-13,neutral,-0.2857142857142857,rf_score,0.00763656283774477,Dictionary vs Random Forest
FOMC statements,2012-03-13,neutral,-0.2857142857142857,bert_score,-0.17647058823529413,Dictionary vs RoBERTa/BERT
FOMC statements,2012-04-25,neutral,-0.2,rf_score,0.00791888403519791,Dictionary vs Random Forest
FOMC statements,2012-04-25,neutral,-0.2,bert_score,-0.15789473684210523,Dictionary vs RoBERTa/BERT
FOMC statements,2012-06-20,neutral,-0.4117647058823529,rf_score,0.0163625437377706,Dictionary vs Random Forest
FOMC statements,2012-06-20,neutral,-0.4117647058823529,bert_score,-0.391304347826087,Dictionary vs RoBERTa/BERT
FOMC statements,2012-08-01,neutral,-0.3333333333333333,rf_score,0.01093331719088211,Dictionary vs Random Forest
