corpus_long,bank,meeting_date,score_component,score
FOMC statements,FOMC,2009-12-16,Policy score,-0.2857142857142857
FOMC statements,FOMC,2009-12-16,Economic score,0
FOMC statements,FOMC,2009-12-16,Aggregate net score,-0.25
FOMC statements,FOMC,2010-01-27,Policy score,-0.2307692307692308
FOMC statements,FOMC,2010-01-27,Economic score,0
FOMC statements,FOMC,2010-01-27,Aggregate net score,-0.2
FOMC statements,FOMC,2010-03-16,Policy score,-0.2307692307692308
FOMC statements,FOMC,2010-03-16,Economic score,-0.07692307692307693
FOMC statements,FOMC,2010-03-16,Aggregate net score,-0.25
FOMC statements,FOMC,2010-04-28,Policy score,-0.14285714285714285
FOMC statements,FOMC,2010-04-28,Economic score,-0.07692307692307693
FOMC statements,FOMC,2010-04-28,Aggregate net score,-0.17647058823529413
FOMC statements,FOMC,2010-06-23,Policy score,-0.14285714285714285
FOMC statements,FOMC,2010-06-23,Economic score,0
FOMC statements,FOMC,2010-06-23,Aggregate net score,-0.1111111111111111
FOMC statements,FOMC,2010-08-10,Policy score,-0.2857142857142857
FOMC statements,FOMC,2010-08-10,Economic score,0
FOMC statements,FOMC,2010-08-10,Aggregate net score,-0.2222222222222222
FOMC statements,FOMC,2010-09-21,Policy score,-0.25
FOMC statements,FOMC,2010-09-21,Economic score,0
FOMC statements,FOMC,2010-09-21,Aggregate net score,-0.2
FOMC statements,FOMC,2010-11-03,Policy score,-0.375
FOMC statements,FOMC,2010-11-03,Economic score,0
FOMC statements,FOMC,2010-11-03,Aggregate net score,-0.3
FOMC statements,FOMC,2010-12-14,Policy score,-0.375
FOMC statements,FOMC,2010-12-14,Economic score,0.06666666666666667
FOMC statements,FOMC,2010-12-14,Aggregate net score,-0.23809523809523808
FOMC statements,FOMC,2011-01-26,Policy score,-0.3333333333333333
FOMC statements,FOMC,2011-01-26,Economic score,0.06666666666666667
FOMC statements,FOMC,2011-01-26,Aggregate net score,-0.2
FOMC statements,FOMC,2011-03-15,Policy score,-0.3333333333333333
FOMC statements,FOMC,2011-03-15,Economic score,0.25
FOMC statements,FOMC,2011-03-15,Aggregate net score,-0.04761904761904761
FOMC statements,FOMC,2011-04-27,Policy score,-0.14285714285714285
FOMC statements,FOMC,2011-04-27,Economic score,0.2
FOMC statements,FOMC,2011-04-27,Aggregate net score,0.05263157894736842
FOMC statements,FOMC,2011-06-22,Policy score,-0.2307692307692308
FOMC statements,FOMC,2011-06-22,Economic score,0.16666666666666666
FOMC statements,FOMC,2011-06-22,Aggregate net score,-0.06666666666666667
FOMC statements,FOMC,2011-08-09,Policy score,-0.2307692307692308
FOMC statements,FOMC,2011-08-09,Economic score,-0.06666666666666667
FOMC statements,FOMC,2011-08-09,Aggregate net score,-0.2222222222222222
FOMC statements,FOMC,2011-09-21,Policy score,-0.2857142857142857
FOMC statements,FOMC,2011-09-21,Economic score,0
FOMC statements,FOMC,2011-09-21,Aggregate net score,-0.25
FOMC statements,FOMC,2011-11-02,Policy score,-0.07692307692307693
FOMC statements,FOMC,2011-11-02,Economic score,-0.07692307692307693
FOMC statements,FOMC,2011-11-02,Aggregate net score,-0.125
FOMC statements,FOMC,2011-12-13,Policy score,-0.16666666666666666
FOMC statements,FOMC,2011-12-13,Economic score,-0.09090909090909093
FOMC statements,FOMC,2011-12-13,Aggregate net score,-0.2307692307692308
FOMC statements,FOMC,2012-01-25,Policy score,-0.2307692307692308
FOMC statements,FOMC,2012-01-25,Economic score,-0.09090909090909093
FOMC statements,FOMC,2012-01-25,Aggregate net score,-0.2857142857142857
FOMC statements,FOMC,2012-03-13,Policy score,-0.2307692307692308
FOMC statements,FOMC,2012-03-13,Economic score,-0.09090909090909093
FOMC statements,FOMC,2012-03-13,Aggregate net score,-0.2857142857142857
FOMC statements,FOMC,2012-04-25,Policy score,-0.2307692307692308
FOMC statements,FOMC,2012-04-25,Economic score,0
FOMC statements,FOMC,2012-04-25,Aggregate net score,-0.2
FOMC statements,FOMC,2012-06-20,Policy score,-0.2857142857142857
FOMC statements,FOMC,2012-06-20,Economic score,-0.2307692307692308
FOMC statements,FOMC,2012-06-20,Aggregate net score,-0.4117647058823529
FOMC statements,FOMC,2012-08-01,Policy score,-0.2857142857142857
FOMC statements,FOMC,2012-08-01,Economic score,-0.14285714285714285
FOMC statements,FOMC,2012-08-01,Aggregate net score,-0.3333333333333333
FOMC statements,FOMC,2012-09-13,Policy score,-0.4444444444444444
FOMC statements,FOMC,2012-09-13,Economic score,0.07692307692307693
FOMC statements,FOMC,2012-09-13,Aggregate net score,-0.3333333333333333
FOMC statements,FOMC,2012-10-24,Policy score,-0.47368421052631576
FOMC statements,FOMC,2012-10-24,Economic score,0.07692307692307693
FOMC statements,FOMC,2012-10-24,Aggregate net score,-0.3636363636363637
FOMC statements,FOMC,2012-12-12,Policy score,-0.5454545454545454
FOMC statements,FOMC,2012-12-12,Economic score,0.06666666666666667
FOMC statements,FOMC,2012-12-12,Aggregate net score,-0.4074074074074074
FOMC statements,FOMC,2013-01-30,Policy score,-0.5238095238095238
